string,en,fr,de,ru,es,pt,br,pl,it,ja,ko,no,sv,da,ar
I paid but never saw my license key anywhere or haven't received any emails.,I paid but never saw my license key anywhere or haven't received any emails.,,,,,"Paguei pelo programa mas nunca vi a minha chave, nem recebi qualquer e-mail.","Paguei pelo programa mas nunca vi a minha chave, nem recebi qualquer e-mail.",,,,,,,,
"Please check your bank or PayPal accounts to make sure the payment went through successfully. If the money was deducted but you haven't received anything from us, contact our support via this <a class=""open-form-page"">e-mail.</a>","Please check your bank or PayPal accounts to make sure the payment went through successfully. If the money was deducted but you haven't received anything from us, contact our support via this <a class=""open-form-page"">e-mail.</a>",,,,,"Por favor, verifique a sua conta bancária ou conta PayPal para se certificar que o pagamento foi bem-sucedido. Se o montante requisitado for deduzido, mas não receber qualquer informação da nossa parte, contacte a nossa equipa de apoio através deste <a class=""open-form-page"">e-mail.</a>","Por favor, verifique a sua conta bancária ou conta PayPal para se certificar que o pagamento foi bem-sucedido. Se o montante requisitado for deduzido, mas não receber qualquer informação da nossa parte, contate a nossa equipe de apoio através deste <a class=""open-form-page"">e-mail.</a>",,,,,,,,
I purchased the program but accidentally closed the window with license key and haven't received any emails. What should I do?,I purchased the program but accidentally closed the window with license key and haven't received any emails. What should I do?,,,,,Comprei o programa mas encerrei acidentalmente a janela com a chave de licença e não recebi qualquer e-mail. O que devo fazer?,Comprei o programa mas encerrei acidentalmente a janela com a chave de licença e não recebi qualquer e-mail. O que devo fazer?,,,,,,,,
"If the payment went through succesfully, but you haven't received any emails from us and didn't copy your key from the page right after the payment, this probably means that you have misspelled your email. No worries, our support staff will help you solve this issue. Please contact us via this <a class=""open-form-page"">e-mail.</a>","If the payment went through succesfully, but you haven't received any emails from us and didn't copy your key from the page right after the payment, this probably means that you have misspelled your email. No worries, our support staff will help you solve this issue. Please contact us via this <a class=""open-form-page"">e-mail.</a>",,,,,"Caso o pagamento tenha sido bem-sucedido, mas não tenha recebido qualquer e-mail da nossa equipa e não tenha copiado a sua chave na página logo após o pagamento, é provável que nos tenha fornecido um e-mail errado. No entanto, não se deve preocupar. A nossa equipa de apoio irá ajudar na resolução deste problema. Por favor, contacte-nos via este <a class=""open-form-page"">e-mail.</a> ","Caso o pagamento tenha sido bem-sucedido, mas não tenha recebido qualquer e-mail da nossa equipe e não tenha copiado a sua chave na página logo após o pagamento, é provável que nos tenha fornecido um e-mail errado. No entanto, não se deve preocupar. A nossa equipe de apoio irá ajudar na resolução deste problema. Por favor, contate-nos via este <a class=""open-form-page"">e-mail.</a> ",,,,,,,,
How do I download and install ByteFence Anti-Malware for Mac?,How do I download and install ByteFence Anti-Malware for Mac?,,,,,Como descarrego e instalo o ByteFence Anti-Malware no Mac?,Como baixo e instalo o ByteFence Anti-Malware no Mac?,,,,,,,,
ByteFence Anti Malware is currently only available for Windows users. But we are working on it!,ByteFence Anti Malware is currently only available for Windows users. But we are working on it!,,,,,"De momento, o ByteFence Anti-Malware encontra-se disponível apenas para utilizadores Windows. No entanto, estamos a trabalhar numa solução para outras plataformas!","De momento, o ByteFence Anti-Malware só está disponível para usuários Windows. No entanto, estamos trabalhando numa solução para outras plataformas!",,,,,,,,
Is ByteFence compatible with my computer?,Is ByteFence compatible with my computer?,,,,,O ByteFence é compatível com o meu computador?,O ByteFence é compatível com o meu computador?,,,,,,,,
"ByteFence is compatible with following versions of Windows: Windows XP, Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10","ByteFence is compatible with following versions of Windows: Windows XP, Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10",,,,,"O ByteFence é compatível com as seguintes versões do Windows: Windows XP, Windows Vista, Windows 7, Windows 8, Windows 8.1 e Windows 10","O ByteFence é compatível com as seguintes versões do Windows: Windows XP, Windows Vista, Windows 7, Windows 8, Windows 8.1 e Windows 10",,,,,,,,
"The scan slowed down, is there something wrong with my computer or the program?","The scan slowed down, is there something wrong with my computer or the program?",,,,,A análise tornou-se mais lenta. Existe algum problema com o meu computador ou com o programa?,A análise ficou mais lenta. Existe algum problema com o meu computador ou com o programa?,,,,,,,,
"There is nothing wrong. If stopping and starting it again doesn't work, please uninstall your current version and download a new one. <a class=""downloadUrl"" href=""{{downloadLink}}"">from here.</a> Don't forget to activate it with your license key.","There is nothing wrong. If stopping and starting it again doesn't work, please uninstall your current version and download a new one. <a class=""downloadUrl"" href=""{{downloadLink}}"">from here.</a> Don't forget to activate it with your license key.",,,,,"Não existe qualquer problema. Tente reiniciar a análise e, se não funcionar, experimente desinstalar a sua versão atual e descarregar a versão mais recente <a class=""downloadUrl"" href=""{{downloadLink}}"">aqui.</a> Não se esqueça de a ativar com a sua chave de licença.","Não existe qualquer problema. Tente reiniciar a análise e, se não funcionar, experimente desinstalar a sua versão atual e baixar a versão mais recente <a class=""downloadUrl"" href=""{{downloadLink}}"">aqui.</a> Não se esqueça de a ativar com a sua chave de licença.",,,,,,,,
I lost my license key!,I lost my license key!,,,,,Perdi a minha chave de licença!,Perdi a minha chave de licença!,,,,,,,,
"First, please check your email inbox for a confirmation letter from Byte Technologies. This letter should contain your license key. If you can't find it, contact our support center via this <a class=""open-form-page"">e-mail.</a>","First, please check your email inbox for a confirmation letter from Byte Technologies. This letter should contain your license key. If you can't find it, contact our support center via this <a class=""open-form-page"">e-mail.</a>",,,,,"Primeiro, verifique a sua caixa de entrada e procure por uma mensagem de confirmação da Byte Technologies. Esta mensagem deverá conter a sua chave de licença. Caso não a consiga encontrar, contacte o nosso centro de apoio via este <a class=""open-form-page"">e-mail.</a>  ","Primeiro, verifique a sua caixa de entrada e procure por uma mensagem de confirmação da Byte Technologies. Esta mensagem deverá conter a sua chave de licença. Caso não a consiga encontrar, contate o nosso centro de apoio via este <a class=""open-form-page"">e-mail.</a>  ",,,,,,,,
I bought a new computer and have a valid ByteFence license. Can I transfer it to my new PC?,I bought a new computer and have a valid ByteFence license. Can I transfer it to my new PC?,,,,,Comprei um novo computador e possuo uma licença ByteFence válida. É possível transferir para o meu novo PC?,Comprei um novo computador e possuo uma licença ByteFence válida. É possível transferir para o meu novo PC?,,,,,,,,
"Absolutely! Please download ByteFence to your new computer and sign in using your license key. If any problems occur, contact our support center via this <a class=""open-form-page"">e-mail.</a>","Absolutely! Please download ByteFence to your new computer and sign in using your license key. If any problems occur, contact our support center via this <a class=""open-form-page"">e-mail.</a>",,,,,"Claro que sim! Por favor, descarregue o ByteFence para o seu novo computador e inicie sessão com a sua chave de licença. Em caso de dificuldade, contacte o nosso centro de apoio via este <a class=""open-form-page"">e-mail.</a>","Claro que sim! Por favor, baixe o ByteFence para o seu novo computador e inicie sessão com a sua chave de licença. Em caso de dificuldade, contate o nosso centro de apoio via este <a class=""open-form-page"">e-mail.</a>",,,,,,,,
